380,0.001368,3.9e-05,0.00645
381,0.0015021,4.2826e-05,0.0070832
382,0.0016423,4.6915e-05,0.0077455
383,0.0018024,5.159e-05,0.0085012
384,0.0019958,5.7176e-05,0.0094145
385,0.002236,6.4e-05,0.01055
386,0.0025354,7.2344e-05,0.011966
387,0.0028926,8.2212e-05,0.013656
388,0.0033008,9.3508e-05,0.015588
389,0.0037532,0.00010614,0.01773
390,0.004243,0.00012,0.02005
391,0.0047624,0.00013498,0.022511
392,0.00533,0.00015149,0.025203
393,0.0059787,0.00017021,0.02828
394,0.0067411,0.00019182,0.031897
395,0.00765,0.000217,0.03621
396,0.0087514,0.00024691,0.041438
397,0.010029,0.00028124,0.047504
398,0.011422,0.00031852,0.05412
399,0.012869,0.00035727,0.060998
400,0.01431,0.000396,0.06785
401,0.015704,0.00043371,0.074486
402,0.017147,0.00047302,0.081362
403,0.018781,0.00051788,0.089154
404,0.020748,0.00057222,0.09854
405,0.02319,0.00064,0.1102
406,0.026207,0.00072456,0.12461
407,0.029782,0.0008255,0.1417
408,0.033881,0.00094116,0.1613
409,0.038468,0.0010699,0.18326
410,0.04351,0.00121,0.2074
411,0.048996,0.0013621,0.23369
412,0.055023,0.0015308,0.26261
413,0.061719,0.0017204,0.29477
414,0.069212,0.0019353,0.3308
415,0.07763,0.00218,0.3713
416,0.086958,0.0024548,0.41621
417,0.097177,0.002764,0.46546
418,0.10841,0.0031178,0.51969
419,0.12077,0.0035264,0.57953
420,0.13438,0.004,0.6456
421,0.14936,0.0045462,0.71848
422,0.1654,0.0051593,0.79671
423,0.18198,0.0058293,0.87785
424,0.19861,0.0065462,0.95944
425,0.21477,0.0073,1.0391
426,0.23019,0.0080865,1.1154
427,0.24488,0.0089087,1.1885
428,0.25878,0.0097677,1.2581
429,0.27181,0.010664,1.3239
430,0.2839,0.0116,1.3856
431,0.29494,0.012573,1.4426
432,0.3049,0.013583,1.4948
433,0.31379,0.01463,1.5422
434,0.32165,0.015715,1.5849
435,0.3285,0.01684,1.623
436,0.33435,0.018007,1.6564
437,0.33921,0.019214,1.6853
438,0.34312,0.020454,1.7099
439,0.34613,0.021718,1.7304
440,0.34828,0.023,1.7471
441,0.3496,0.024295,1.76
442,0.35015,0.02561,1.7696
443,0.35001,0.026959,1.7763
444,0.34929,0.028351,1.7804
445,0.34806,0.0298,1.7826
446,0.34637,0.031311,1.783
447,0.34426,0.032884,1.7817
448,0.34181,0.034521,1.7792
449,0.33909,0.036226,1.7759
450,0.3362,0.038,1.7721
451,0.3332,0.039847,1.7683
452,0.33004,0.041768,1.764
453,0.32664,0.043766,1.7589
454,0.32289,0.045843,1.7525
455,0.3187,0.048,1.7441
456,0.31403,0.050244,1.7336
457,0.30888,0.052573,1.7209
458,0.30329,0.054981,1.7059
459,0.29726,0.057459,1.6887
460,0.2908,0.06,1.6692
461,0.28397,0.062602,1.6475
462,0.27672,0.065278,1.6234
463,0.26892,0.068042,1.596
464,0.26042,0.070911,1.5645
465,0.2511,0.0739,1.5281
466,0.24085,0.077016,1.4861
467,0.22985,0.080266,1.4395
468,0.21841,0.083667,1.3899
469,0.20681,0.087233,1.3387
470,0.19536,0.09098,1.2876
471,0.18421,0.094918,1.2374
472,0.17333,0.099046,1.1878
473,0.16269,0.10337,1.1388
474,0.15228,0.10788,1.0901
475,0.1421,0.1126,1.0419
476,0.13218,0.11753,0.9942
477,0.12257,0.12267,0.94735
478,0.11328,0.12799,0.90145
479,0.1043,0.13345,0.85662
480,0.09564,0.13902,0.81295
481,0.0873,0.14468,0.77052
482,0.079308,0.15047,0.72944
483,0.071718,0.15646,0.68991
484,0.064581,0.16272,0.6521
485,0.05795,0.1693,0.6162
486,0.051862,0.17624,0.58233
487,0.046282,0.18356,0.55042
488,0.041151,0.19127,0.52034
489,0.036413,0.19942,0.49197
490,0.03201,0.20802,0.46518
491,0.027917,0.21712,0.43992
492,0.024144,0.22673,0.41618
493,0.020687,0.23686,0.39388
494,0.01754,0.24748,0.37295
495,0.0147,0.2586,0.3533
496,0.012162,0.27018,0.33486
497,0.00992,0.28229,0.31755
498,0.0079672,0.29505,0.30134
499,0.0062963,0.30858,0.28617
500,0.0049,0.323,0.272
